Column1.name;Column1.matches.num;Column1.matches.date;Column1.matches.time;Column1.matches.team1.name;Column1.matches.team1.code;Column1.matches.team2.name;Column1.matches.team2.code;Column1.matches.score1;Column1.matches.score2;Column1.matches.score1i;Column1.matches.score2i;Column1.matches.goals1.name;Column1.matches.goals1.minute;Column1.matches.goals1.score1;Column1.matches.goals1.score2;Column1.matches.goals1.penalty;Column1.matches.goals2.name;Column1.matches.goals2.minute;Column1.matches.goals2.score1;Column1.matches.goals2.score2;Column1.matches.goals2.owngoal;Column1.matches.group;Column1.matches.stadium.key;Column1.matches.stadium.name;Column1.matches.city;Column1.matches.timezone
Matchday 1;1;2014-06-12;17:00;Brazil;BRA;Croatia;CRO;3;1;;;Neymar;29;1;1;;Marcelo;11;0;1;VERDADEIRO;Group A;corinthians;Arena Corinthians;São Paulo;UTC-3
Matchday 1;1;2014-06-12;17:00;Brazil;BRA;Croatia;CRO;3;1;;;Neymar;71;2;1;VERDADEIRO;Marcelo;11;0;1;VERDADEIRO;Group A;corinthians;Arena Corinthians;São Paulo;UTC-3
Matchday 1;1;2014-06-12;17:00;Brazil;BRA;Croatia;CRO;3;1;;;Oscar;90;3;1;;Marcelo;11;0;1;VERDADEIRO;Group A;corinthians;Arena Corinthians;São Paulo;UTC-3
Matchday 2;2;2014-06-13;13:00;Mexico;MEX;Cameroon;CMR;1;0;;;Oribe Peralta;61;1;0;;;;;;;Group A;;;;
Matchday 2;3;2014-06-13;16:00;Spain;ESP;Netherlands;NED;1;5;;;Xabi Alonso;27;1;0;VERDADEIRO;Robin Van Persie;44;1;1;;Group B;fontenova;Arena Fonte Nova;Salvador;UTC-3
Matchday 2;3;2014-06-13;16:00;Spain;ESP;Netherlands;NED;1;5;;;Xabi Alonso;27;1;0;VERDADEIRO;Arjen Robben;53;1;2;;Group B;fontenova;Arena Fonte Nova;Salvador;UTC-3
Matchday 2;3;2014-06-13;16:00;Spain;ESP;Netherlands;NED;1;5;;;Xabi Alonso;27;1;0;VERDADEIRO;Stefan De Vrij;65;1;3;;Group B;fontenova;Arena Fonte Nova;Salvador;UTC-3
Matchday 2;3;2014-06-13;16:00;Spain;ESP;Netherlands;NED;1;5;;;Xabi Alonso;27;1;0;VERDADEIRO;Robin Van Persie;72;1;4;;Group B;fontenova;Arena Fonte Nova;Salvador;UTC-3
Matchday 2;3;2014-06-13;16:00;Spain;ESP;Netherlands;NED;1;5;;;Xabi Alonso;27;1;0;VERDADEIRO;Arjen Robben;80;1;5;;Group B;fontenova;Arena Fonte Nova;Salvador;UTC-3
Matchday 2;4;2014-06-13;18:00;Chile;CHI;Australia;AUS;3;1;;;Alexis Sánchez;12;1;0;;Cahill;35;2;1;;Group B;pantanal;Arena Pantanal;Cuiabá;UTC-4
Matchday 2;4;2014-06-13;18:00;Chile;CHI;Australia;AUS;3;1;;;Jorge Valdívia;14;2;0;;Cahill;35;2;1;;Group B;pantanal;Arena Pantanal;Cuiabá;UTC-4
Matchday 2;4;2014-06-13;18:00;Chile;CHI;Australia;AUS;3;1;;;Jean Beausejour;90;3;1;;Cahill;35;2;1;;Group B;pantanal;Arena Pantanal;Cuiabá;UTC-4
Matchday 3;5;2014-06-14;13:00;Colombia;COL;Greece;GRE;3;0;;;Pablo Armero;5;1;0;;;;;;;Group C;mineirao;Estádio Mineirão;Belo Horizonte;UTC-3
Matchday 3;5;2014-06-14;13:00;Colombia;COL;Greece;GRE;3;0;;;Teofilo Gutiérrez;58;2;0;;;;;;;Group C;mineirao;Estádio Mineirão;Belo Horizonte;UTC-3
Matchday 3;5;2014-06-14;13:00;Colombia;COL;Greece;GRE;3;0;;;James Rodríguez;90;3;0;;;;;;;Group C;mineirao;Estádio Mineirão;Belo Horizonte;UTC-3
Matchday 3;6;2014-06-14;22:00;Côte d'Ivoire;CIV;Japan;JPN;2;1;;;Wilfried Bony;64;1;1;;Keisuke Honda;16;0;1;;Group C;pernambuco;Arena Pernambuco;Recife;UTC-3
Matchday 3;6;2014-06-14;22:00;Côte d'Ivoire;CIV;Japan;JPN;2;1;;;Gervinho;66;2;1;;Keisuke Honda;16;0;1;;Group C;pernambuco;Arena Pernambuco;Recife;UTC-3
Matchday 3;7;2014-06-14;16:00;Uruguay;URU;Costa Rica;CRC;1;3;;;Edinson Cavani;24;1;0;VERDADEIRO;Joel Campbell;54;1;1;;Group D;castelao;Estádio Castelão;Fortaleza;UTC-3
Matchday 3;7;2014-06-14;16:00;Uruguay;URU;Costa Rica;CRC;1;3;;;Edinson Cavani;24;1;0;VERDADEIRO;Oscar Duarte;57;1;2;;Group D;castelao;Estádio Castelão;Fortaleza;UTC-3
Matchday 3;7;2014-06-14;16:00;Uruguay;URU;Costa Rica;CRC;1;3;;;Edinson Cavani;24;1;0;VERDADEIRO;Marcos Ureña;84;1;3;;Group D;castelao;Estádio Castelão;Fortaleza;UTC-3
Matchday 3;8;2014-06-14;18:00;England;ENG;Italy;ITA;1;2;;;Daniel Sturridge;37;1;1;;Claudio Marchisio;35;0;1;;Group D;amazonia;Arena Amazônia;Manaus;UTC-4
Matchday 3;8;2014-06-14;18:00;England;ENG;Italy;ITA;1;2;;;Daniel Sturridge;37;1;1;;Mario Balotelli;50;1;2;;Group D;amazonia;Arena Amazônia;Manaus;UTC-4
Matchday 4;9;2014-06-15;13:00;Switzerland;SUI;Ecuador;ECU;2;1;;;Admir Mehmedi;48;1;1;;Enner Valencia;22;0;1;;Group E;nacionaldebrasilia;Estádio Nacional (Mané Garrincha);Brasília;UTC-3
